G_CHAINAGE,G_RAILLEVEL,G_LINE,G_TAIL,G_HEAD
72/112.329,85.996,(UP LINE),LEVEL,R 132
72/392.329,88.123,(UP LINE),R 132,F 1553
72/692.329,91.013,(UP LINE),F 1553,LEVEL
73/012.039,93.017,(UP LINE),LEVEL,R 225
73/432.039,95.996,(UP LINE),R 225,F 1553
73/592.039,96.328,(UP LINE),F 1553,R 938
74/071.599,96.637,(UP LINE),R 938,F 145
74/591.599,100.225,(UP LINE),F 145,F 1084
74/871.599,99.965,(UP LINE),F 1084,F 1440
75/531.079,99.507,(UP LINE),F 1440,F 133
75/791.079,97.547,(UP LINE),F 133,R 132
76/168.539,98.283,(UP LINE),R 132,F 1553
76/388.539,98.794,(UP LINE),F 1553,LEVEL
76/668.539,96.62,(UP LINE),LEVEL,R 225
76/908.539,96.035,(UP LINE),R 225,F 1553
77/291.329,97.946,(UP LINE),F 1553,R 938
77/911.329,102.995,(UP LINE),R 938,F 145
